Gender,Age,Under 30,Senior Citizen,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Label,Population,30 to 64,Household Size,Is Alone,Receive Refund,Total Services Subscribed,Cost per GB,Historical Avg Monthly Charge,Bill Shock,Tenure Group,Referral a Friend,Under-Utilizing Unlimited
Male,67,No,Yes,No,0,La Puente,91746,34.038983,-117.991372,0,3,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,Yes,30802,No,1,Yes,No,3,1.4696423322705956,44.06666666666666,No,New (0-1y),No,No
Male,68,No,Yes,No,0,Rowland Heights,91748,33.976753,-117.897367,0,13,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,Yes,46342,No,1,Yes,No,5,9.718172983479107,104.94615384615385,Yes,Standard (1-2y),No,No
Female,68,No,Yes,No,0,Ontario,91764,34.074087,-117.605618,0,16,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,Yes,49474,No,1,Yes,No,4,10.494432783963575,94.45,No,Standard (1-2y),No,Yes
Male,66,No,Yes,No,0,Alpine,91901,32.827184,-116.703729,0,8,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,Yes,16486,No,1,Yes,No,1,10.64284193879723,75.81875,No,New (0-1y),No,Yes
Male,69,No,Yes,No,0,San Diego,92122,32.85723,-117.209774,0,24,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,Yes,34902,No,1,Yes,No,1,5.073329951113366,71.3625,Yes,Standard (1-2y),No,Yes
Female,74,No,Yes,No,0,San Diego,92122,32.85723,-117.209774,0,4,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,Yes,34902,No,1,Yes,No,3,47.72476137619312,99.025,No,New (0-1y),No,Yes
Male,76,No,Yes,Yes,0,San Diego,92122,32.85723,-117.209774,2,32,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,Yes,34902,No,2,No,No,1,7.4899925100074904,71.9796875,Yes,Loyal (2-4y),Yes,Yes
Male,77,No,Yes,Yes,0,San Diego,92122,32.85723,-117.209774,1,24,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.4500000000003,Yes,34902,No,2,No,No,4,7.762493531255392,92.96041666666667,Yes,Standard (1-2y),Yes,Yes
Female,70,No,Yes,No,0,San Diego,92122,32.85723,-117.209774,0,54,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,Yes,34902,No,1,Yes,No,7,16.48996702006596,80.55740740740741,Yes,Very Loyal (4y+),No,Yes
Female,74,No,Yes,No,0,San Diego,92122,32.85723,-117.209774,0,2,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39,Yes,34902,No,1,Yes,No,0,7.034992965007035,69.525,Yes,New (0-1y),No,Yes
Female,77,No,Yes,No,0,San Diego,92122,32.85723,-117.209774,0,21,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,Yes,34902,No,1,Yes,No,2,5.237493453133184,40.00476190476191,Yes,Standard (1-2y),No,Yes
Male,71,No,Yes,Yes,0,San Diego,92122,32.85723,-117.209774,0,27,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,945.1,Yes,34902,No,2,No,No,1,2.365382795859388,29.81851851851852,Yes,Loyal (2-4y),No,No
Male,79,No,Yes,Yes,0,San Diego,92122,32.85723,-117.209774,1,11,Yes,29.54,No,No,No Internet Service,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,Yes,34902,No,2,No,No,0,1994999.9999999998,19.522727272727273,Yes,New (0-1y),Yes,No
Female,66,No,Yes,Yes,0,San Diego,92122,32.85723,-117.209774,2,55,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,Yes,34902,No,2,No,No,3,3.164813642661614,88.63090909090909,No,Very Loyal (4y+),Yes,No
Male,77,No,Yes,No,0,San Diego,92122,32.85723,-117.209774,0,3,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.660000000000004,261.36,Yes,34902,No,1,Yes,No,2,5.810710135207046,77.89999999999999,Yes,New (0-1y),No,Yes
Female,80,No,Yes,No,0,Thermal,92274,33.53604,-116.119222,0,1,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,Yes,17018,No,1,Yes,No,1,4.429409159171083,75.3,No,New (0-1y),No,No
Female,77,No,Yes,No,0,Riverside,92509,34.004379,-117.447864,0,5,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,Yes,63999,No,1,Yes,No,1,1.094230348372943,26.21,Yes,New (0-1y),No,No
Female,77,No,Yes,No,0,Hemet,92544,33.644585,-116.871544,0,20,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,2837.0,Yes,39264,No,1,Yes,No,4,7.84166013194989,89.12,Yes,Standard (1-2y),No,No
Female,72,No,Yes,Yes,0,Moreno Valley,92557,33.970661,-117.255039,4,5,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,Yes,46214,No,2,No,No,1,3.379543918389128,66.96000000000001,Yes,New (0-1y),Yes,No
Female,80,No,Yes,Yes,0,Perris,92571,33.828289,-117.201666,2,27,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,Yes,26357,No,2,No,No,1,3.0079987968004813,71.4574074074074,Yes,Loyal (2-4y),Yes,No
Female,74,No,Yes,No,0,Anaheim,92807,33.848733,-117.788357,0,4,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,Yes,36301,No,1,Yes,No,3,3.716665118056201,86.55,Yes,New (0-1y),No,No
Female,68,No,Yes,No,0,Brea,92823,33.924143,-117.79387,0,1,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,Yes,1408,No,1,Yes,No,2,4.080950437642649,85.7,No,New (0-1y),No,No
Female,78,No,Yes,Yes,0,Yorba Linda,92887,33.884073,-117.732197,3,65,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,Yes,20893,No,2,No,No,5,3.758927228954561,104.40615384615384,Yes,Very Loyal (4y+),Yes,No
Male,75,No,Yes,Yes,0,Summerland,93067,34.420998,-119.60137,3,49,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,Yes,576,No,2,No,No,3,6.432138262758384,92.80102040816327,No,Very Loyal (4y+),Yes,Yes
Male,77,No,Yes,Yes,0,Santa Barbara,93101,34.419203,-119.710008,1,43,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,Yes,31727,No,2,No,No,6,22.1499557000886,109.02093023255813,Yes,Loyal (2-4y),Yes,Yes
Male,80,No,Yes,Yes,0,Alpaugh,93201,35.869626,-119.498771,0,56,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,8527.449999999999,Yes,1054,No,2,No,No,5,8.712492739589385,103.47589285714285,Yes,Very Loyal (4y+),No,Yes
Male,75,No,Yes,Yes,0,Camp Nelson,93208,36.057458,-118.591951,7,20,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,2005.85,Yes,191,No,2,No,No,4,9.454990545009455,94.9825,No,Standard (1-2y),Yes,Yes
Female,69,No,Yes,No,0,Delano,93215,35.772244,-119.209689,0,2,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,Yes,37280,No,1,Yes,No,4,4.710523836566402,80.75,Yes,New (0-1y),No,Yes
Female,74,No,Yes,No,0,Fellows,93224,35.215731,-119.57013,0,8,Yes,27.95,No,No,No Internet Service,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,Yes,626,No,1,Yes,No,0,1964999.9999999998,20.5375,No,New (0-1y),No,No
Male,76,No,Yes,No,0,Temecula,92592,33.507255,-117.029473,0,52,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,Yes,46171,No,1,Yes,No,4,2.7305540385810896,49.05576923076923,Yes,Very Loyal (4y+),No,No
Male,69,No,Yes,No,0,San Diego,92129,32.961064,-117.134917,0,2,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.07999999999998,Yes,47224,No,1,Yes,No,1,1.824073398491334,45.55,Yes,New (0-1y),No,No
Male,72,No,Yes,Yes,0,San Diego,92129,32.961064,-117.134917,1,33,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,Yes,47224,No,2,No,No,3,11.812485234393458,94.10757575757576,Yes,Loyal (2-4y),Yes,Yes
Female,69,No,Yes,No,0,San Diego,92129,32.961064,-117.134917,0,30,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55,Yes,47224,No,1,Yes,No,4,4.826313249308816,91.93833333333333,No,Loyal (2-4y),No,Yes
Male,73,No,Yes,No,0,San Diego,92129,32.961064,-117.134917,0,20,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,Yes,47224,No,1,Yes,No,4,7.58076339941277,92.14,Yes,Standard (1-2y),No,No
Female,65,No,Yes,No,0,Biola,93606,36.798882,-120.019511,0,46,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,4983.820000000001,Yes,807,No,1,Yes,No,7,5.499997250001375,105.97391304347826,Yes,Loyal (2-4y),No,Yes
Male,74,No,Yes,Yes,0,Selma,93662,36.545322,-119.642281,1,7,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72,Yes,26213,No,2,No,No,3,8.690901190089827,92.05,Yes,New (0-1y),Yes,Yes
Female,65,No,Yes,No,0,Squaw Valley,93675,36.719141,-119.202677,0,4,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52,Yes,3146,No,1,Yes,No,1,4.380553121914932,73.2,Yes,New (0-1y),No,Yes
Female,66,No,Yes,No,0,Fresno,93706,36.654614,-119.903674,0,55,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.200000000001,Yes,35790,No,1,Yes,No,5,14.285693877580176,100.16909090909091,No,Very Loyal (4y+),No,No
Male,71,No,Yes,Yes,0,Jolon,93928,35.930782,-121.189757,1,20,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,1570.9,Yes,254,No,2,No,No,1,3.0687487213547,73.175,Yes,Standard (1-2y),Yes,No
Male,65,No,Yes,No,0,San Francisco,94102,37.7795,-122.419233,0,9,Yes,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0,438.39,1356.99,Yes,28998,No,1,Yes,No,5,6.6999955333363115,102.06666666666666,No,New (0-1y),No,Yes
Male,69,No,Yes,No,0,San Francisco,94108,37.791998,-122.408653,0,10,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0.0,30,54.6,773.25,Yes,13723,No,1,Yes,No,1,3.035415401910249,68.865,Yes,New (0-1y),No,No
Male,75,No,Yes,Yes,0,San Francisco,94114,37.758085,-122.434801,0,1,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,0.0,0,36.92,110.47,Yes,30587,No,2,No,No,1,12.258312902811829,73.55,No,New (0-1y),No,Yes
Female,75,No,Yes,No,0,San Francisco,94130,37.820894,-122.369725,0,3,Yes,41.9,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0.0,0,125.7,330.75,Yes,1458,No,1,Yes,No,2,7.218175256204313,68.35000000000001,Yes,New (0-1y),No,Yes
Female,68,No,Yes,No,0,Palo Alto,94304,37.386978,-122.177746,0,4,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0,26.72,386.8200000000001,Yes,1723,No,1,Yes,No,2,4.976467660901376,90.025,No,New (0-1y),No,Yes
Male,71,No,Yes,No,0,Birds Landing,94512,38.140719,-121.838298,0,35,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,4244.85,Yes,138,No,1,Yes,No,4,5.213155150970973,97.02285714285715,Yes,Loyal (2-4y),No,No
Male,80,No,Yes,No,0,Byron,94514,37.83323,-121.601461,0,2,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0,53.24,138.39,Yes,10153,No,1,Yes,No,0,4.086359921490981,42.575,Yes,New (0-1y),No,Yes
Male,66,No,Yes,No,0,Fremont,94539,37.516791,-121.899117,0,8,Yes,11.57,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0.0,0,92.56,924.91,Yes,46917,No,1,Yes,No,5,3.7148134389579854,104.04375,No,New (0-1y),No,No
Male,73,No,Yes,Yes,0,Livermore,94550,37.571748,-121.659562,2,44,No,0.0,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0,0.0,1359.7,Yes,75929,No,2,No,No,1,1.0839281843113628,30.902272727272727,No,Loyal (2-4y),Yes,No
Male,77,No,Yes,Yes,0,Napa,94558,38.489789,-122.27011,1,62,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0.0,0,440.82,6824.17,Yes,63947,No,2,No,No,6,6.484370947268158,102.95725806451614,Yes,Very Loyal (4y+),Yes,Yes
Female,76,No,Yes,Yes,0,Pleasanton,94566,37.633361,-121.862395,1,33,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0.0,0,1095.27,3751.77,Yes,36669,No,2,No,No,2,5.373329751113499,80.5,Yes,Loyal (2-4y),Yes,Yes
Female,65,No,Yes,No,0,San Ramon,94583,37.766556,-121.976784,0,4,Yes,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45,Yes,44078,No,1,Yes,No,4,4.09999821739208,106.1125,No,New (0-1y),No,No
Male,75,No,Yes,Yes,0,Pleasanton,94588,37.685052,-121.912061,1,27,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0,286.2,2180.15,Yes,28568,No,2,No,No,1,3.2826072684316223,70.1462962962963,Yes,Loyal (2-4y),Yes,No
Male,75,No,Yes,No,0,Berkeley,94704,37.871416,-122.246597,0,8,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,0,323.6,1143.0,Yes,21205,No,1,Yes,No,4,3.4689643210467858,102.425,No,New (0-1y),No,No
Female,68,No,Yes,Yes,0,Berkeley,94707,37.897753,-122.279391,1,3,Yes,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0.0,0,77.31,351.06,Yes,11889,No,2,No,No,3,44.149779251103745,91.25,No,New (0-1y),Yes,Yes
Female,71,No,Yes,No,0,Berkeley,94710,37.872902,-122.303708,0,8,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0,343.44,1073.39,Yes,8157,No,1,Yes,No,3,10.233321962975596,91.24375,Yes,New (0-1y),No,Yes
Male,74,No,Yes,No,0,Greenbrae,94904,37.946617,-122.563571,0,14,Yes,11.31,No,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0.0,0,158.34,1424.4399999999998,Yes,12010,No,1,Yes,No,2,3.7687484296881544,90.43571428571428,Yes,Standard (1-2y),No,No
Male,77,No,Yes,No,0,Forest Knolls,94933,38.010092,-122.689442,0,12,No,0.0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,0,0.0,526.95,Yes,1025,No,1,Yes,No,3,4.364995635004365,43.9125,No,New (0-1y),No,Yes
Female,73,No,Yes,No,0,Freedom,95019,36.936228,-121.785559,0,13,Yes,40.37,No,Yes,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0.0,0,524.81,1465.16,Yes,4753,No,1,Yes,No,1,3.538093553288784,72.33461538461539,Yes,Standard (1-2y),No,No
Female,68,No,Yes,No,0,Gilroy,95020,37.03889,-121.528955,0,11,Yes,3.96,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0.0,0,43.56,1091.26,Yes,49968,No,1,Yes,No,2,3.322220991770003,95.24545454545455,No,New (0-1y),No,No
Male,74,No,Yes,Yes,0,Los Gatos,95030,37.222842,-121.988727,1,17,Yes,28.18,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0.0,0,479.06,2101.51,Yes,13290,No,2,No,No,4,6.278121076174328,95.43823529411765,Yes,Standard (1-2y),Yes,Yes
Male,65,No,Yes,Yes,0,San Jose,95128,37.316146,-121.936285,1,39,Yes,33.25,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,0.0,0,1296.75,5581.55,Yes,32804,No,2,No,No,6,4.063459975592317,109.86666666666667,No,Loyal (2-4y),Yes,No
