Gender,Age,Under 30,Senior Citizen,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Population,30 to 64,Household Size,Is Alone,Receive Refund,Total Services Subscribed,Cost per GB,Historical Avg Monthly Charge,Bill Shock,Referral a Friend,Under-Utilizing Unlimited,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet Service,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Tenure Group_Loyal (2-4y),Tenure Group_New (0-1y),Tenure Group_Standard (1-2y),Tenure Group_Very Loyal (4y+)
1,40,0,0,0,0,1.0,92325,34.248061,-117.29028,0,9,1,15.53,0,1,14,0,0,1,0,1,1,1,1,1,94.05,811.65,0.0,0,139.76999999999998,951.42,10484,1,1,1,0,4,6.717852344391183,90.18333333333334,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,26,1,0,1,0,0.0,95437,39.455555,-123.683979,1,12,1,46.88,0,1,73,0,1,0,0,0,0,0,1,1,51.25,612.1,0.0,0,562.5600000000001,1174.66,14417,0,2,0,0,1,0.7020546983486714,51.00833333333333,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,65,0,1,1,0,0.17715080913853637,90746,33.859171,-118.252272,8,22,1,22.38,0,1,14,0,0,0,0,1,1,1,1,1,89.75,1938.9,0.0,0,492.36,2431.26,25566,0,2,0,0,3,6.410709706635924,88.13181818181819,1,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,54,0,0,1,0,0.23302467977101912,91701,34.132275,-117.611478,7,72,1,12.85,1,1,24,0,1,1,1,1,1,1,0,1,110.15,7998.8,0.0,70,925.2,8994.0,39064,1,2,0,0,7,4.5895814210077415,111.09444444444443,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,40,0,0,1,0,0.23302467977101912,90606,33.976678,-118.065875,8,71,1,26.56,1,1,7,0,1,1,0,0,1,1,0,1,93.25,6669.45,0.0,90,1885.76,8645.21,32148,1,2,0,0,5,13.321409540843511,93.93591549295776,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,42,0,0,0,0,0.0,94028,37.369709,-122.215844,0,1,1,3.23,0,0,0,0,0,0,0,0,0,0,0,1,20.05,20.05,0.0,0,3.23,23.28,6601,1,1,1,0,0,2005000.0,20.05,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,53,0,0,1,1,0.23289199999345978,90007,34.027337,-118.28515,8,71,1,14.86,0,0,0,0,0,0,0,0,0,0,0,0,19.7,1301.1,0.0,0,1055.06,2356.16,45025,1,3,0,0,0,1970000.0,18.32535211267605,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,33,0,0,1,1,0.6659032310498683,92114,32.707892,-117.05512,6,28,1,41.41,1,1,30,0,0,0,0,0,0,0,1,0,49.9,1410.25,0.0,0,1159.48,2569.73,66838,1,3,0,0,1,1.6633327788890735,50.36607142857143,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,19,1,0,0,0,0.0,90293,33.947305,-118.439841,0,18,1,2.26,1,1,73,0,0,0,0,1,0,0,1,0,84.3,1537.9,0.0,0,40.67999999999999,1578.5800000000002,11264,0,1,1,0,2,1.1547943623569366,85.4388888888889,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,30,0,0,0,0,0.40838366096098255,95385,37.609095,-121.263381,0,60,1,22.88,0,1,48,1,0,1,1,1,1,1,1,1,104.95,6236.75,0.0,0,1372.8,7609.55,274,1,1,1,0,6,2.1864578778212755,103.94583333333334,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,21,1,0,1,0,0.55621683763981,93531,35.214982,-118.59049,4,4,1,9.98,1,1,51,0,1,0,0,1,1,1,1,1,97.95,384.5,0.0,0,39.92,424.42,1436,0,2,0,0,5,1.920587858708263,96.125,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,46,0,0,0,0,0.31464969888872285,93656,36.452211,-119.94575,0,53,1,43.57,0,1,13,1,1,1,1,0,1,1,1,0,99.5,5424.25,0.0,0,2309.21,7733.46,5729,1,1,1,0,6,7.653840266276719,102.34433962264151,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,62,0,0,0,0,0.0,93266,36.175255,-119.813805,0,1,1,17.61,0,0,0,0,0,0,0,0,0,0,0,0,19.95,19.95,0.0,0,17.61,37.56,1729,1,1,1,0,0,1995000.0,19.95,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,61,0,0,0,2,0.3145715995918679,94005,37.684694,-122.40712,0,30,1,4.27,1,0,0,0,0,0,0,0,0,0,0,0,25.35,723.3,0.0,0,128.1,851.4,3635,1,3,0,0,1,2535000.0,24.11,1,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,59,0,0,1,0,0.09737968012364465,92867,33.81859,-117.821288,1,65,1,23.46,0,0,0,0,0,0,0,0,0,0,0,1,20.4,1414.45,0.0,0,1524.9,2939.3500000000004,40915,1,2,0,0,0,2040000.0,21.76076923076923,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,61,0,0,1,0,0.2453711467369316,92258,33.906496,-116.569499,1,7,1,5.13,0,1,4,0,0,1,0,0,0,0,1,0,48.7,340.25,0.0,0,35.91,376.16,732,1,2,0,0,1,12.174969562576097,48.60714285714285,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,22,1,0,0,0,0.23289199999345978,90071,34.052917,-118.255178,0,38,1,23.95,1,1,27,0,0,1,1,1,1,1,0,1,103.65,3988.5,0.0,140,910.1,5038.6,21,0,1,1,0,6,3.838887467078716,104.96052631578948,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,46,0,0,1,0,0.31464969888872285,93004,34.278697,-119.167798,10,44,1,32.72,1,1,6,1,1,1,1,0,0,0,1,1,95.1,4060.55,0.0,0,1439.6799999999998,5500.23,27381,1,2,0,0,5,15.84997358337736,92.28522727272728,1,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,78,0,1,0,0,0.25460803730563664,90040,33.994524,-118.149953,0,49,1,35.65,0,1,3,0,0,0,0,0,0,0,1,0,43.8,2106.05,20.45,0,1746.85,3832.45,9805,0,1,1,1,0,14.599951333495554,42.98061224489796,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,76,0,1,0,0,0.0,95959,39.333737,-120.858667,0,1,0,0.0,0,1,26,0,0,0,0,0,0,0,0,1,25.8,25.8,0.0,20,0.0,45.8,17269,0,1,1,0,0,0.9923073106510344,25.8,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,38,0,0,0,0,0.17715080913853637,92587,33.69887,-117.25071,0,1,1,49.33,0,1,21,0,0,0,0,0,0,0,1,1,45.4,45.4,0.0,0,49.33,94.73,13151,1,1,1,0,0,2.161903732426794,45.4,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,35,0,0,0,7,0.2830463091532722,93277,36.303793,-119.375646,0,1,1,12.81,0,0,0,0,0,0,0,0,0,0,0,0,19.25,19.25,0.0,0,12.81,32.06,44741,1,8,0,0,0,1925000.0,19.25,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,42,0,0,1,0,0.2573550047761223,90027,34.127194,-118.295647,4,18,1,35.96,0,1,17,0,0,0,1,0,0,0,1,1,50.3,908.75,0.0,0,647.28,1556.03,48727,1,2,0,0,1,2.9588217889283595,50.48611111111112,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,53,0,0,0,0,0.23970338309591263,96097,41.764869,-122.671316,0,15,1,10.12,1,1,15,1,0,0,0,1,1,1,1,1,99.7,1566.75,0.0,0,151.79999999999998,1718.55,9538,1,1,1,0,5,6.64666223555851,104.45,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,38,0,0,0,2,0.55621683763981,91108,34.122671,-118.112911,0,32,1,16.94,0,0,0,0,0,0,0,0,0,0,0,0,20.5,696.8,0.0,0,542.08,1238.88,13158,1,3,0,0,0,2050000.0,21.775,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,55,0,0,1,0,0.6659032310498683,92103,32.747484,-117.166877,1,24,1,17.73,1,1,29,0,0,0,0,0,0,0,1,1,75.4,1747.85,0.0,0,425.52,2173.37,30202,1,2,0,0,1,2.599999103448585,72.82708333333333,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,42,0,0,0,0,0.0,95374,37.316807,-120.855753,0,15,1,42.83,1,1,21,0,1,0,0,0,0,0,1,1,79.75,1111.85,0.0,0,642.4499999999999,1754.2999999999995,1960,1,1,1,0,2,3.7976172392298864,74.12333333333332,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,41,0,0,0,0,0.0,93446,35.634222,-120.728341,0,65,1,22.23,1,1,18,0,1,1,1,0,1,1,1,1,74.2,4805.65,0.0,0,1444.95,6250.599999999999,35586,1,1,1,0,6,4.122219932100038,73.93307692307691,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,66,0,1,1,0,0.40838366096098255,95651,38.815515,-120.916997,5,38,1,15.78,1,1,30,0,0,0,0,0,0,0,1,1,74.95,2869.85,0.0,0,599.64,3469.49,485,0,2,0,0,1,2.498332500555833,75.52236842105263,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,49,0,0,0,0,0.0,91905,32.677097,-116.304991,0,46,1,30.99,0,0,0,0,0,0,0,0,0,0,0,0,19.2,908.15,0.0,0,1425.54,2333.69,1509,1,1,1,0,0,1920000.0,19.742391304347827,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,69,0,1,1,1,0.6659032310498683,92114,32.707892,-117.05512,9,24,1,20.78,0,1,23,0,0,1,0,1,1,1,1,1,96.55,2263.45,0.0,0,498.72,2762.17,66838,0,3,0,0,4,4.197824261815538,94.31041666666664,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,21,1,0,1,0,0.0,91604,34.139082,-118.39275,1,72,1,22.22,1,0,0,0,0,0,0,0,0,0,0,0,26.45,1914.5,0.0,0,1599.84,3514.34,26157,0,2,0,0,1,2644999.9999999995,26.59027777777778,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,48,0,0,1,1,0.23545700760815833,90018,34.028735,-118.317236,3,64,0,0.0,0,1,19,1,0,1,1,1,1,1,1,1,60.05,3845.45,0.0,0,0.0,3845.45,47143,1,3,0,0,6,3.160524652355446,60.08515625,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,70,0,1,1,0,0.0,92003,33.290907,-117.202895,1,18,0,0.0,0,1,12,0,0,1,0,1,1,1,1,1,48.35,810.7,0.0,0,0.0,810.7,3849,0,2,0,0,4,4.029163309030576,45.03888888888889,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,55,0,0,1,3,0.29823546513328175,94610,37.808731,-122.238708,7,10,1,13.83,0,0,0,0,0,0,0,0,0,0,0,1,20.05,218.5,0.0,0,138.3,356.8,29964,1,5,0,0,0,2005000.0,21.85,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,32,0,0,1,2,0.11933513976167943,94404,37.556094,-122.272437,4,39,1,48.14,0,1,23,0,0,1,0,1,0,0,1,1,59.85,2341.5,0.0,0,1877.46,4218.96,31882,1,4,0,0,2,2.602172781664008,60.03846153846154,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,76,0,1,1,0,0.2529974635237006,91355,34.43987,-118.644609,2,26,1,17.12,0,1,17,0,0,1,0,0,1,0,1,0,60.7,1597.4,0.0,0,445.12,2042.52,24977,0,2,0,0,2,3.5705861349493326,61.43846153846154,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,42,0,0,0,0,0.2710854921603448,95841,38.660442,-121.346321,0,8,1,14.32,0,0,0,0,0,0,0,0,0,0,0,0,19.2,156.85,0.0,0,114.56,271.41,20993,1,1,1,0,0,1920000.0,19.60625,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,30,0,0,1,2,0.4114264719283326,94709,37.878554,-122.26609,1,27,1,13.55,1,1,59,0,0,0,1,1,1,1,0,0,71.6,1957.1,0.0,140,365.85,2462.95,10147,1,4,0,0,5,1.2135591163459123,72.48518518518519,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,49,0,0,1,0,0.40838366096098255,94563,37.873916,-122.20522,3,9,1,22.41,1,1,21,1,0,0,0,0,1,1,1,1,88.05,801.3,0.0,0,201.69,1002.99,17964,1,2,0,0,4,4.192855146259454,89.03333333333333,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,30,0,0,0,0,0.2652129817444219,91931,32.857946,-116.561917,0,31,1,38.78,1,1,59,0,0,0,0,0,0,0,1,1,76.05,2227.8,0.0,0,1202.18,3429.9800000000005,796,1,1,1,0,1,1.288982832375791,71.86451612903227,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,51,0,0,0,0,0.0,90638,33.902045,-118.008961,0,24,1,10.64,0,0,0,0,0,0,0,0,0,0,0,1,19.55,470.2,0.0,0,255.36,725.56,47568,1,1,1,0,0,1955000.0,19.591666666666665,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,27,1,0,0,0,0.23545700760815833,90031,34.085807,-118.206617,0,42,1,22.08,0,1,26,1,1,1,0,0,0,0,1,0,59.65,2536.55,0.0,0,927.36,3463.91,38415,0,1,1,0,3,2.2942298868346587,60.394047619047626,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,65,0,1,0,0,0.0,92301,34.667815,-117.536183,0,72,1,26.87,1,1,20,0,1,1,1,1,1,1,1,1,108.1,7774.05,0.0,0,1934.64,9708.69,18980,0,1,1,0,7,5.404997297501351,107.97291666666666,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,53,0,0,0,0,0.4082504974174488,95686,38.157794,-121.520223,0,6,1,21.97,0,1,9,0,1,0,0,0,1,1,1,1,84.4,556.35,0.0,0,131.82,688.1700000000001,1472,1,1,1,0,3,9.37776735803627,92.725,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,54,0,0,0,0,0.0,90262,33.923573,-118.200669,0,9,0,0.0,0,1,20,0,0,0,0,1,1,1,0,1,45.4,418.8,0.0,20,0.0,438.8,69850,1,1,1,0,3,2.269998865000568,46.53333333333333,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,56,0,0,1,3,0.0,96128,40.346634,-120.386422,6,13,1,27.62,0,0,0,0,0,0,0,0,0,0,0,0,20.85,272.35,0.0,0,359.06,631.4100000000001,408,1,5,0,0,0,2085000.0,20.950000000000003,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,35,0,0,0,0,0.31464969888872285,91752,33.999992,-117.535395,0,31,0,0.0,0,1,10,1,1,0,1,0,1,1,1,1,49.85,1520.1,0.0,0,0.0,1520.1,18980,1,1,1,0,5,4.984995015004985,49.03548387096774,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,34,0,0,0,0,0.40240718274501214,90502,33.833181,-118.292062,0,2,0,0.0,0,1,8,0,1,1,1,0,0,0,1,1,40.4,77.15,0.0,0,0.0,77.15,17058,1,1,1,0,3,5.04999368750789,38.575,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,44,0,0,1,0,0.4082504974174488,93615,36.497895,-119.285484,8,8,1,17.09,0,0,0,0,0,0,0,0,0,0,0,1,19.85,146.6,0.0,0,136.72,283.32,5519,1,2,0,0,0,1985000.0,18.325,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,78,0,1,0,0,0.2556777216473174,95607,38.681651,-122.130569,0,24,1,18.39,0,0,0,0,0,0,0,0,0,0,0,1,20.3,459.95,0.0,0,441.36,901.31,262,0,1,1,0,0,2030000.0,19.164583333333333,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,24,1,0,0,0,0.24835826408935113,95076,36.931654,-121.752383,0,69,1,36.5,1,0,0,0,0,0,0,0,0,0,0,0,24.6,1678.05,28.42,0,2518.5,4168.13,81141,0,1,1,1,1,2460000.0,24.319565217391304,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,55,0,0,0,0,0.0,93454,34.943523,-120.256729,0,7,1,7.37,1,1,6,0,0,0,0,1,1,1,1,1,94.1,701.3,0.0,0,51.59,752.89,30540,1,1,1,0,4,15.683307194488007,100.18571428571428,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,50,0,0,1,2,0.2556777216473174,93203,35.116307,-118.817644,10,68,1,19.09,1,0,0,0,0,0,0,0,0,0,0,0,25.4,1620.2,9.34,0,1298.12,2908.98,16206,1,4,0,1,1,2539999.9999999995,23.826470588235296,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,67,0,1,1,0,0.20922900396054817,93551,34.613476,-118.256358,1,58,1,3.18,1,1,5,0,0,1,0,1,1,1,1,1,98.7,5812.6,0.0,0,184.44,5997.04,34045,0,2,0,0,5,19.739960520078963,100.21724137931037,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,33,0,0,0,0,0.0,93626,37.027663,-119.69056,0,10,1,14.53,1,1,30,0,0,0,1,1,1,1,0,1,98.5,1058.25,0.0,110,145.29999999999998,1313.55,1125,1,1,1,0,5,3.283332238889254,105.825,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,50,0,0,1,0,0.23970338309591263,95254,38.192608,-120.957842,7,14,1,4.45,0,1,16,0,0,0,0,0,1,1,1,1,78.1,1122.4,0.0,0,62.3,1184.7,304,1,2,0,0,2,4.881246949220657,80.17142857142858,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,45,0,0,0,0,0.55621683763981,96130,40.559177,-120.612113,0,66,0,0.0,0,1,15,0,0,0,1,0,0,0,1,0,29.45,1983.15,0.0,0,0.0,1983.15,19440,1,1,1,0,1,1.963332024445317,30.04772727272728,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,23,1,0,1,0,0.6781608061733155,92117,32.825086,-117.199424,1,2,0,0.0,0,1,51,0,0,0,0,1,1,1,1,0,44.6,97.1,0.0,0,0.0,97.1,51213,0,2,0,0,3,0.8745096324490916,48.55,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,45,0,0,1,3,0.0,93930,36.220761,-120.980777,3,70,1,11.36,1,1,53,1,1,1,1,1,1,1,1,1,115.15,8250.0,0.0,0,795.1999999999999,9045.2,14477,1,5,0,0,8,2.1726410995016794,117.85714285714286,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,27,1,0,1,2,0.6333132718549251,92110,32.76501,-117.19938,7,49,1,36.08,1,1,59,0,1,1,0,1,0,0,1,1,93.65,4520.15,33.13,0,1767.9199999999998,6254.94,24169,0,4,0,1,4,1.5872878665613783,92.24795918367346,1,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
